tiltX,tiltY,tiltZ,accAngleX,accAngleY,accAngleZ,gyroX,gyroY,gyroZ,Click,RotDir,RotVal
-2.09,-83.48,84.80,83.48,-76.89,0.33,-162,303,-11,0,RIGHT,0
-1.61,-89.75,85.33,89.75,-68.57,0.64,82,347,9,0,RIGHT,0
-2.52,-82.00,86.49,82.00,-81.77,0.65,108,153,21,0,RIGHT,0
1.25,-86.33,84.41,86.33,74.90,0.30,-113,257,-50,1,RIGHT,0
-0.31,-85.97,85.15,85.97,-34.81,0.53,402,-17,32,0,RIGHT,0
-1.88,-85.38,84.43,85.38,-78.37,0.23,207,327,5,1,RIGHT,0
-0.53,-88.13,78.28,88.13,-67.25,0.68,353,590,37,0,RIGHT,0
-1.27,-88.19,85.80,88.19,-76.33,0.34,339,-229,-40,0,RIGHT,0
-1.99,-87.54,86.20,87.54,-77.71,0.39,-37,786,-3,0,RIGHT,0
-1.77,-88.63,85.68,88.63,-70.20,0.65,124,399,-10,1,RIGHT,0
2.28,-27.77,89.77,27.77,81.39,0.43,-273,-23,85,0,RIGHT,0
-0.89,-88.00,85.05,88.00,-59.58,0.54,-40,17,56,0,RIGHT,0
-0.96,-85.56,84.84,85.56,-71.05,0.39,102,390,12,0,RIGHT,0
-99.34,-73.14,-50.69,73.14,-87.50,167.16,1278,240,-105,0,RIGHT,0
2.19,-88.77,74.70,88.77,83.75,0.25,-42,-1,11,0,RIGHT,0
-1.68,-83.41,84.71,83.41,-69.99,0.46,196,363,40,0,RIGHT,0
-2.56,86.45,94.56,-86.45,-80.77,0.09,-821,23,176,1,RIGHT,0
0.86,-85.82,85.41,85.82,64.77,0.51,-321,386,0,0,RIGHT,0
-1.33,-83.39,86.17,83.39,-71.85,0.57,79,229,-4,0,RIGHT,0
-1.77,-83.52,85.49,83.52,-80.92,0.49,63,242,24,0,RIGHT,0
-1.26,-83.12,84.85,83.12,-79.62,0.61,196,263,4,0,RIGHT,0
0.09,-89.23,85.65,89.23,26.05,0.22,-125,311,19,0,RIGHT,0
3.58,87.22,96.94,-87.22,84.60,0.24,652,102,54,0,RIGHT,0
-0.33,-84.75,85.04,84.75,-31.46,0.55,14,384,-43,0,RIGHT,0
